mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,random,184,700,0,0,0,52.05766682085589,-716.4437859214036
perfect_v2v,random,185,700,0,0,0,43.41645333384482,-728.9945022044345
perfect_v2v,random,186,700,0,0,0,21.159978212130284,-740.6042718693841
perfect_v2v,random,187,700,0,0,0,18.850906191106052,-771.2452140910148
perfect_v2v,random,188,700,0,0,0,55.950262139498115,-702.0455715825102
perfect_v2v,random,189,700,0,0,0,39.74675027737679,-701.7742429948842
perfect_v2v,random,190,700,0,0,0,40.71148047946346,-689.4385279348835
perfect_v2v,random,191,700,0,0,0,25.171051290765032,-700.5172959970209
perfect_v2v,random,192,700,0,0,0,42.80516221262588,-712.4270822420401
perfect_v2v,random,193,700,0,0,0,32.30748464911093,-705.4305637718762
perfect_v2v,random,194,700,0,0,0,27.991350565303648,-750.2816134998346
perfect_v2v,random,195,700,0,0,0,50.64779384123285,-709.0749937015663
perfect_v2v,random,196,267,0,1,0,11.386267017242513,-269.12013979936887
perfect_v2v,random,197,700,0,0,0,24.73256878021908,-705.2502918939556
perfect_v2v,random,198,700,0,0,0,31.807202077435296,-695.7982186501047
perfect_v2v,random,199,355,0,1,0,23.177858498237473,-295.78007398244006
perfect_v2v,hold,0,100,0,1,1,7.216323861413761,-58.98621053745613
perfect_v2v,hold,1,104,0,1,0,20.350521052200765,-37.067303592498845
perfect_v2v,hold,2,69,1,0,1,3.7804303466934157,-236.7590731995874
perfect_v2v,hold,3,121,0,1,1,4.896775744537401,-91.40711071981647
perfect_v2v,hold,4,91,0,1,1,6.879013972613114,20.1916001584048
perfect_v2v,hold,5,95,0,1,0,8.084426946095652,-52.8858551205371
perfect_v2v,hold,6,103,0,1,1,5.312930822346507,-69.04834315567928
perfect_v2v,hold,7,100,0,1,0,8.949189757776587,-58.98996975617932
perfect_v2v,hold,8,111,0,1,0,21.712587868603425,-41.20490575863498
perfect_v2v,hold,9,93,0,1,1,4.83670990446788,19.652201365648803
perfect_v2v,hold,10,91,0,1,0,11.443173335569103,20.69532849237308
perfect_v2v,hold,11,119,0,1,0,12.671293025750227,-69.36745189143456
perfect_v2v,hold,12,114,0,1,0,24.026158274541974,-39.26530187594763
perfect_v2v,hold,13,57,1,0,1,3.853317138464181,-210.5170282724066
perfect_v2v,hold,14,61,1,0,1,4.434351050204733,-130.56045120277332
perfect_v2v,hold,15,98,0,1,0,12.418808436531815,-46.94897245858327
perfect_v2v,hold,16,102,0,1,0,10.801466935820075,-55.028772477674536
perfect_v2v,hold,17,94,0,1,1,6.509952305358764,19.635494258336628
perfect_v2v,hold,18,108,0,1,0,16.33934393908495,-49.14727770461964
perfect_v2v,hold,19,108,0,1,0,19.706874035411605,-41.14006230034239
perfect_v2v,hold,20,113,0,1,0,15.758880269467285,-53.24362077499315
perfect_v2v,hold,21,58,1,0,1,4.054616651745194,-214.54152415179956
perfect_v2v,hold,22,110,0,1,0,9.326854992484172,-65.18021819589777
perfect_v2v,hold,23,98,0,1,0,12.343250067808967,-46.948603171764375
perfect_v2v,hold,24,111,0,1,1,7.230612154308038,-73.20374536949218
perfect_v2v,hold,25,118,0,1,1,6.374315413669682,-81.34382597027832
perfect_v2v,hold,26,105,0,1,0,8.341950951327009,-63.08439588022121
perfect_v2v,hold,27,98,0,1,1,6.00695496617326,-60.94742267840597
perfect_v2v,hold,28,94,0,1,1,5.135208306918052,-58.86249422065136
perfect_v2v,hold,29,123,0,1,0,15.478298308278937,-65.44446166277363
perfect_v2v,hold,30,115,0,1,0,16.33249015028442,-55.281980596004885
perfect_v2v,hold,31,92,0,1,0,11.398353248225382,20.17100363133847
perfect_v2v,hold,32,118,0,1,0,16.573204950450982,-59.344005084308066
perfect_v2v,hold,33,65,1,0,1,3.984296742447084,-226.6771420698699
perfect_v2v,hold,34,125,0,1,0,26.57110804150521,48.513598407018044
perfect_v2v,hold,35,67,1,0,1,3.9656304300276535,-232.7206250531638
perfect_v2v,hold,36,117,0,1,1,5.3867604900667825,-85.32494899653807
perfect_v2v,hold,37,98,0,1,0,13.43861623121763,-44.94543089898744
perfect_v2v,hold,38,65,1,0,1,4.312590062009257,-228.6685161380173
perfect_v2v,hold,39,105,0,1,0,13.342583441004951,-51.0810302606597
perfect_v2v,hold,40,59,1,0,1,4.434729375753078,-216.56053083927878
perfect_v2v,hold,41,91,0,1,0,10.864527985848095,-42.80520448234671
perfect_v2v,hold,42,62,1,0,1,4.296520764494491,-131.08092377932184
perfect_v2v,hold,43,60,1,0,1,4.350316324701112,-218.584845899202
perfect_v2v,hold,44,120,0,1,0,10.344446034716725,-75.38132705391594
perfect_v2v,hold,45,62,1,0,1,3.7961096457257177,-222.62012489576398
perfect_v2v,hold,46,92,0,1,1,4.622245412025673,20.171711965372285
perfect_v2v,hold,47,97,0,1,0,8.780321261613187,-52.92411842724556
perfect_v2v,hold,48,109,0,1,0,11.017043968251864,-61.16201092413793
perfect_v2v,hold,49,110,0,1,0,13.095625886180828,-57.181436457734435
perfect_v2v,hold,50,96,0,1,0,8.37724602068488,-52.9006235016667
perfect_v2v,hold,51,56,1,0,1,3.490398442176297,-210.4941303494565
perfect_v2v,hold,52,101,0,1,1,6.602565251780321,-63.00295585446305
perfect_v2v,hold,53,125,0,1,0,22.732773650595103,-51.48358480855654
perfect_v2v,hold,54,115,0,1,0,18.47983795190747,-49.28684967650331
perfect_v2v,hold,55,94,0,1,0,13.050168522868205,-40.86832175020406
perfect_v2v,hold,56,97,0,1,0,15.01764701670992,18.571065922548772
perfect_v2v,hold,57,62,1,0,1,3.1338020712408037,-222.59845065954386
perfect_v2v,hold,58,112,0,1,0,21.229987694978764,-43.22223900843912
perfect_v2v,hold,59,102,0,1,0,17.452569502547043,-41.02204011831894
perfect_v2v,hold,60,111,0,1,1,6.618926593591141,-73.20585209792944
perfect_v2v,hold,61,109,0,1,0,12.466842908361633,-59.16661624783774
perfect_v2v,hold,62,101,0,1,1,6.3433241098063675,-65.00501754660506
perfect_v2v,hold,63,103,0,1,0,19.573215580029604,-37.04119009301361
perfect_v2v,hold,64,91,0,1,1,7.462216898258298,-48.808273885611115
perfect_v2v,hold,65,123,0,1,0,17.710919318936828,-61.44549836407475
perfect_v2v,hold,66,92,0,1,0,10.738017955112289,-42.8230086947452
perfect_v2v,hold,67,66,1,0,1,3.7180966811222214,-230.6938190480205
perfect_v2v,hold,68,105,0,1,0,11.886229313117731,-57.08680275397087
perfect_v2v,hold,69,62,1,0,1,4.031001786990233,-222.61871131235785
perfect_v2v,hold,70,109,0,1,0,16.20431287694482,-51.16441803749355
perfect_v2v,hold,71,114,0,1,0,8.623956412625484,-73.26436561423851
perfect_v2v,hold,72,94,0,1,1,4.581343722559835,19.633340212179444
perfect_v2v,hold,73,105,0,1,1,6.732280424537028,-67.08405067620528
perfect_v2v,hold,74,58,1,0,1,3.0093497151105937,-214.52086540383658
perfect_v2v,hold,75,70,1,0,1,4.054179157866692,-238.78090519671912
perfect_v2v,hold,76,95,0,1,0,8.868653653165522,-52.8854554820454
perfect_v2v,hold,77,96,0,1,1,7.5316195330903914,-54.90107657820269
perfect_v2v,hold,78,108,0,1,0,16.304388560892228,-49.14058127872654
perfect_v2v,hold,79,92,0,1,0,15.650340821817824,20.175788215204136
perfect_v2v,hold,80,59,1,0,1,4.2060675118700805,-216.55930720890268
perfect_v2v,hold,81,70,1,0,1,4.17390583297412,-134.7321477853239
perfect_v2v,hold,82,90,0,1,0,10.393602608928688,-42.78387248332044
perfect_v2v,hold,83,70,1,0,1,3.375298711911292,-238.75813571817685
perfect_v2v,hold,84,97,0,1,1,7.5994901434975635,-56.92709942100106
perfect_v2v,hold,85,123,0,1,0,15.649660084738581,-65.44669630423142
perfect_v2v,hold,86,65,1,0,1,3.8164719349058913,-132.64195331721504
perfect_v2v,hold,87,102,0,1,0,16.205107054029064,-43.02753152168967
perfect_v2v,hold,88,116,0,1,0,14.049791571579142,-63.30410172599714
perfect_v2v,hold,89,102,0,1,0,8.055821427772798,-61.02590882776728
perfect_v2v,hold,90,109,0,1,0,12.893056966171608,-59.1673217912862
perfect_v2v,hold,91,113,0,1,0,14.723470738353402,-59.2425430321323
perfect_v2v,hold,92,63,1,0,1,3.662432710165935,-224.62478852363688
perfect_v2v,hold,93,55,1,0,1,3.5444890643590656,-208.47770726296625
perfect_v2v,hold,94,115,0,1,0,14.582340364336794,-61.280568046359235
perfect_v2v,hold,95,103,0,1,0,18.154336140204727,-41.04726859598783
perfect_v2v,hold,96,97,0,1,1,7.407881116875455,-56.927999276364474
perfect_v2v,hold,97,60,1,0,1,3.8278963347904793,-218.58069718099958
perfect_v2v,hold,98,91,0,1,0,13.25555264684587,-36.80822720418887
perfect_v2v,hold,99,104,0,1,0,8.351499745782021,-63.06921228966853
perfect_v2v,hold,100,94,0,1,1,7.044414012429536,-54.8675094667622
perfect_v2v,hold,101,91,0,1,1,7.165399360691749,20.191737361615825
perfect_v2v,hold,102,118,0,1,0,10.819707897355775,-73.34409931531071
perfect_v2v,hold,103,112,0,1,0,9.38583074973205,-67.22093491573659
perfect_v2v,hold,104,94,0,1,0,9.815446920612716,-46.866443111838606
perfect_v2v,hold,105,100,0,1,0,19.686303657247773,-34.985819718314914
