mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward,v2v_rx_count,aoi
lossy_v2v,hold,20,119,0,1,0,18.01334590703125,-61.21072994953275,54,0.2
lossy_v2v,hold,21,65,1,0,1,3.770584970452762,-227.26408135343064,29,1.9000000000000006
lossy_v2v,hold,22,116,0,1,0,10.818916334058427,-67.13555300536284,42,0.2
lossy_v2v,hold,23,104,0,1,0,14.238233007178016,-56.901838969845926,38,0.0
lossy_v2v,hold,24,117,0,1,0,9.258499417439346,-77.16821262348513,43,0.0
lossy_v2v,hold,25,125,0,1,1,7.776334784891505,-93.31267744396112,46,0.0
lossy_v2v,hold,26,111,0,1,0,9.694376531950045,-67.04087154300902,38,0.0
lossy_v2v,hold,27,104,0,1,1,7.185446598418798,-72.89807842914755,38,0.0
lossy_v2v,hold,28,99,0,1,1,7.2886742131184,-66.8065946330282,31,0.5
lossy_v2v,hold,29,130,0,1,0,18.249171093951546,-77.4220218319139,52,0.1
lossy_v2v,hold,30,121,0,1,0,18.57720635614488,-59.24835977685578,48,0.0
lossy_v2v,hold,31,98,0,1,0,11.032685534160153,20.22903359032385,32,0.0
lossy_v2v,hold,32,125,0,1,0,19.256868552312987,-55.31324693472226,45,0.30000000000000004
lossy_v2v,hold,33,113,0,1,1,6.004211862397224,-87.07499586681735,43,0.0
lossy_v2v,hold,34,132,0,1,0,30.096559379852298,50.52906591901685,59,0.6
lossy_v2v,hold,35,117,0,1,1,5.187060998456705,-93.15965937122692,47,0.0
lossy_v2v,hold,36,124,0,1,1,7.6926019240535615,-87.29470844588229,47,0.30000000000000004
lossy_v2v,hold,37,104,0,1,0,15.348865238097853,-52.891733482340186,43,0.0
lossy_v2v,hold,38,72,1,0,1,3.51778118295548,-237.3849052718385,28,2.0
lossy_v2v,hold,39,111,0,1,0,15.354477805786365,-61.03019217324788,42,0.0
lossy_v2v,hold,40,66,1,0,1,3.5741907652845772,-229.28454333895462,34,1.9000000000000006
lossy_v2v,hold,41,96,0,1,0,12.581729144723191,-46.74981419409852,30,0.1
